OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,AREA,ACSTOTPOP,ACSTOTHH,ACSMEDHINC,ACSAVGHINC,ACSPCI,Shape_Length,Shape_Area,DenstiySqmi,DiffIncome,NameLong,NameShort,NameArea,IncomeLevel,VertexCount
1,17003,Alexander County,Illinois,IL,252.60024,8449,3316,28833,38403,15858,225064.60962978238,1032819107.6801435,33.44810757107752,9570.0,"Alexander County, Illinois",Alexander,Alexander County (Area: 252.60024 SqMi),Low Income,2613
2,17127,Massac County,Illinois,IL,241.81293,15425,6293,41077,48654,20216,145433.18136506653,989422603.0333264,63.788979356893776,7577.0,"Massac County, Illinois",Massac,Massac County (Area: 241.81293 SqMi),Middle Income,827
3,17153,Pulaski County,Illinois,IL,203.22847,6262,2529,31173,46001,18444,179515.75012535488,831632055.1417999,30.812612032162622,14828.0,"Pulaski County, Illinois",Pulaski,Pulaski County (Area: 203.22847 SqMi),Low Income,2999
4,17005,Bond County,Illinois,IL,382.75892,17904,6255,51946,61760,24341,168287.29988051023,1638539363.0344262,46.77617963808655,9814.0,"Bond County, Illinois",Bond,Bond County (Area: 382.75892 SqMi),Middle Income,1239
5,17013,Calhoun County,Illinois,IL,283.57542,5118,2045,44891,55194,23109,231480.57209923663,1223623300.518334,18.048108683044532,10303.0,"Calhoun County, Illinois",Calhoun,Calhoun County (Area: 283.57542 SqMi),Middle Income,916
6,17021,Christian County,Illinois,IL,715.63757,34936,14135,41712,52795,21519,257926.00300681381,3121139864.324834,48.81800713732791,11083.0,"Christian County, Illinois",Christian,Christian County (Area: 715.63757 SqMi),Middle Income,3382
7,17025,Clay County,Illinois,IL,469.58989,13927,5615,38016,48204,20802,209888.66480777846,2002837220.4170635,29.657793527028446,10188.0,"Clay County, Illinois",Clay,Clay County (Area: 469.58989 SqMi),Middle Income,1456
8,17027,Clinton County,Illinois,IL,503.26947,37395,13999,55278,66735,25392,258866.0479465992,2137710771.9045472,74.30412975378776,11457.0,"Clinton County, Illinois",Clinton,Clinton County (Area: 503.26947 SqMi),Middle Income,2519
9,17029,Coles County,Illinois,IL,510.0742,53568,20906,36457,52123,20601,202677.53771714994,2222977937.2373447,105.02001473511109,15666.0,"Coles County, Illinois",Coles,Coles County (Area: 510.0742 SqMi),Middle Income,839
10,17035,Cumberland County,Illinois,IL,347.00192,11073,4172,42101,53588,21262,161838.15882486824,1501697997.785121,31.91048625898093,11487.0,"Cumberland County, Illinois",Cumberland,Cumberland County (Area: 347.00192 SqMi),Middle Income,900
11,17041,Douglas County,Illinois,IL,417.22233,20012,7572,46941,55889,21438,185141.22069753334,1831360642.3114464,47.96483448045554,8948.0,"Douglas County, Illinois",Douglas,Douglas County (Area: 417.22233 SqMi),Middle Income,928
12,17047,Edwards County,Illinois,IL,222.71943,6707,2788,40430,48979,21113,168208.25087102587,941097814.200025,30.114121610314825,8549.0,"Edwards County, Illinois",Edwards,Edwards County (Area: 222.71943 SqMi),Middle Income,1711
13,17049,Effingham County,Illinois,IL,480.00457,34232,13462,49509,62422,24843,186365.2668925498,2064814503.7286785,71.31598767903397,12913.0,"Effingham County, Illinois",Effingham,Effingham County (Area: 480.00457 SqMi),Middle Income,786
14,17051,Fayette County,Illinois,IL,725.34019,22007,8176,41269,53513,21663,262426.7410080015,3114963368.624161,30.340246278094696,12244.0,"Fayette County, Illinois",Fayette,Fayette County (Area: 725.34019 SqMi),Middle Income,1798
15,17055,Franklin County,Illinois,IL,431.44216,39528,16228,34381,43599,18504,196242.97514826513,1802099445.9874077,91.61830637970105,9218.0,"Franklin County, Illinois",Franklin,Franklin County (Area: 431.44216 SqMi),Low Income,2287
16,17059,Gallatin County,Illinois,IL,328.18129,5773,2377,38003,52383,21537,176240.76415081133,1362342401.412826,17.590887036856977,14380.0,"Gallatin County, Illinois",Gallatin,Gallatin County (Area: 328.18129 SqMi),Middle Income,1136
17,17061,Greene County,Illinois,IL,546.27024,13983,5789,41450,52801,22107,234147.7565860283,2369628327.9232125,25.597220891989288,11351.0,"Greene County, Illinois",Greene,Greene County (Area: 546.27024 SqMi),Middle Income,1409
18,17065,Hamilton County,Illinois,IL,435.88927,8453,3503,35032,52001,21602,172730.25238872852,1825086087.3951097,19.39253976130222,16969.0,"Hamilton County, Illinois",Hamilton,Hamilton County (Area: 435.88927 SqMi),Middle Income,1533
19,17069,Hardin County,Illinois,IL,181.57755,4402,1868,27578,40771,18515,118393.55389232958,748855989.4519938,24.24308511707532,13193.0,"Hardin County, Illinois",Hardin,Hardin County (Area: 181.57755 SqMi),Low Income,746
20,17077,Jackson County,Illinois,IL,602.37689,59864,23773,32169,45658,19294,225740.98172410732,2502085313.4895525,99.37964253575531,13489.0,"Jackson County, Illinois",Jackson,Jackson County (Area: 602.37689 SqMi),Low Income,2169
